Auckland,n. the largest city and principal port of New Zealand
Maori,"n. an ethnic minority of Polynesian and Melanesian descent who speak Maori and live in New Zealand
n. the Oceanic language spoken by the Maori in New Zealand"
kiwi,"n. fuzzy brown egg-shaped fruit with slightly tart green flesh
n. nocturnal flightless bird of New Zealand having a long neck and stout legs; only surviving representative of the order Apterygiformes"
Stewart Island,none
tectonic,"a. pertaining to the structure or movement of the earth's crust
a. of or pertaining to construction or architecture"
geological,a. of or relating to or based on geology
geology,n. a science that deals with the history of the earth as recorded in rocks
plateau,n a relatively flat highland
Alps,n. a large mountain system in south-central Europe; scenic beauty and winter sports make them a popular tourist attraction
backbone,"n. fortitude and determination
n. the part of a network that connects other networks together"
graze,"n. a superficial abrasion
n. the act of grazing
v. break the skin (of a body part) by scraping
v. scrape gently"
strip,"n. a relatively long narrow piece of something
n. artifact consisting of a narrow flat piece of material
n. thin piece of wood or metal
n. a form of erotic entertainment in which a dancer gradually undresses to music"
Christchurch,n. industrial city at the center of a rich agricultural region
carve,"v. form by carving
v. engrave or cut by chipping away at a surface
v. cut to pieces"
paddle,"n. small wooden bat with a flat surface; used for hitting balls in various games
n. a blade of a paddle wheel or water wheel
n. an instrument of punishment consisting of a flat board
n. a short light oar used without an oarlock to propel a canoe or small boat"
uninhabited,a. not having inhabitants; not lived in
extinction,"n. no longer active; extinguished
n. no longer in existence
n. the reduction of the intensity of radiation as a consequence of absorption and radiation"
fern,n. any of numerous flowerless and seedless vascular plants having true roots from a rhizome and fronds that uncurl upward; reproduce by spores
scarce,a. deficient in quantity or number compared with the demand
warlike,s. suggesting war or military life
tribe,"n. a social division of (usually preliterate) people
n. a federation (as of American Indians)
n. (biology) a taxonomic category between a genus and a subfamily"
wipe out,n. a spill in some sport (as a fall from a bicycle or while skiing or being capsized on a surfboard)
take over,n. a change by sale or merger in the controlling interest of a corporation
fence,"n. a barrier that serves to enclose an area
n. a dealer in stolen property
v. enclose with a fence
v. receive stolen goods"
immunity,"n. (medicine) the condition in which an organism can resist disease
n. the quality of being unaffected by something"
immune,"n. a person who is immune to a particular infection
a. relating to the condition of immunity
s. secure against
s. relating to or conferring immunity (to disease or infection)"
Christianity,n. a monotheistic system of beliefs and practices based on the Old Testament and the teachings of Jesus as embodied in the New Testament and emphasizing the role of Jesus as savior
treaty,n. a written agreement between two states or sovereigns
representative,"n. a person who represents others
s. serving to represent or typify
a. standing for something else
s. being or characteristic of government by representation in which citizens exercise power through elected officers and representatives"
