boorish,s. ill-mannered and coarse and contemptible in behavior or appearance
bovine,"n. any of various members of the genus Bos
a. of or relating to or belonging to the genus Bos (cattle)
s. dull and slow-moving and stolid; like an ox"
brazen,"v. face with defiance or impudence
a. made of or resembling brass (as in color or hardness)"
broach,v. bring up a topic for discussion
bucolic,a. relating to shepherds or herdsmen or devoted to raising sheep or cattle
burgeon,v. grow and flourish
burnish,"n the property of being smooth and shiny
v polish and make shiny"
buttress,"n. a support usually of stone or brick; supports the wall of a building
v. reinforce with a buttress
v. make stronger or defensible"
cacophonous,a. having an unpleasant sound
cadge,"v ask for and get free; be a parasite
v obtain or seek to obtain by cadging or wheedling"
callous,"v. make insensitive or callous; deaden feelings or morals
s. emotionally hardened"
