repulse,"n an instance of driving away or warding off
v force or drive back
v be repellent to; cause aversion in
v cause to move back by force or influence"
seismic,s. subject to or caused by an earthquake or earth vibration
undulate,"v. increase and decrease in volume or pitch, as if in waves
s. having a wavy margin and rippled surface"
upheaval,n. (geology) a rise of land to a higher elevation (as in the process of mountain building)
betrothed,n. the person to whom you are engaged
blasphemy,n. blasphemous language (expressing disrespect for God or for something sacred)
cadence,"n. the close of a musical section
n. a recurrent rhythmical series"
canon,"n. a rule or especially body of rules or principles generally established as valid and fundamental in a field or art or philosophy
n. a priest who is a member of a cathedral chapter
n. a contrapuntal piece of music in which a melody in one part is imitated exactly in other parts
n. a complete list of saints that have been recognized by the Roman Catholic Church"
denouement,"n. the outcome of a complex sequence of events
n. the final resolution of the main complication of a literary or dramatic work"
edict,n. a formal or authoritative proclamation
enamor,v attract; cause to be enamored
insensate,"a devoid of feeling and consciousness and animation
s without compunction or human feeling"
renegade,n. someone who rebels and becomes an outlaw
soliloquy,"n. speech you make to yourself
n. a (usually long) dramatic speech intended to give the illusion of unspoken reflections"
stricture,n. severe criticism
triumvirate,n. a group of three men responsible for public administration or civil authority
usurp,v. take the place of
vestment,n. gown (especially ceremonial garments) worn by the clergy
votary,"n. one bound by vows to a religion or life of worship or service
n. a priest or priestess (or consecrated worshipper) in a non-Christian religion or cult
n. a devoted (almost religiously so) adherent of a cause or person or activity"
advent,"n. arrival that has been awaited (especially of something momentous)
n. the season including the four Sundays preceding Christmas"
blasé,none
bravado,n. a swaggering show of courage
disparate,"s. fundamentally different or distinct in quality or kind
s. including markedly dissimilar elements"
domicile,"n. (law) the residence where you have your permanent home or principal establishment and to where, whenever you are absent, you intend to return; every person is compelled to have one and only one domicile at a time"
fabricate,v. make up something artificial or untrue
itinerant,"n. a laborer who moves from place to place as demanded by employment
s. traveling from place to place to work"
lilliputian,"n. a very small person (resembling a Lilliputian)
n. a 6-inch tall inhabitant of Lilliput in a novel by Jonathan Swift
a. tiny; relating to or characteristic of the imaginary country of Lilliput"
phobia,n. an anxiety disorder characterized by extreme and irrational fear of simple things or social situations
proclivity,n. a natural inclination
projectile,"n. a weapon that is forcibly thrown or projected at a targets but is not self-propelled
s. impelling or impelled forward"
queasy,"s causing or able to cause nausea
s feeling nausea; feeling about to vomit
s causing or fraught with or showing anxiety"
reciprocate,"v. act, feel, or give mutually or in return
v. alternate the direction of motion of"
relegate,"v. refer to another person for decision or judgment
v. assign to a class or kind"
vertigo,n a reeling sensation; a feeling that you are about to fall
amnesia,n. partial or total loss of memory
appease,"v cause to be more favorably inclined; gain the good will of
v overcome or allay
v make peace with"
attrition,"n. sorrow for sin arising from fear of damnation
n. a wearing down to weaken or destroy
n. the act of rubbing together; wearing something down by friction"
debacle,"n. a sudden and violent collapse
n. flooding caused by a tumultuous breakup of ice in a river during the spring or summer"
defoliate,"v. strip the leaves or branches from
s. deprived of leaves"
equestrian,"a. of or relating to or composed of knights
a. of or relating to or featuring horseback riding"
expunge,v remove by erasing or crossing out or as if by drawing a line
hackneyed,s repeated too often; overfamiliar through overuse
opprobrium,"n state of disgrace resulting from public abuse
n a state of extreme dishonor"
proviso,n a stipulated condition
sully,"n. United States painter (born in England) of portraits and historical scenes (1783-1872)
n. French statesman (1560-1641)"
tactile,s. producing a sensation of touch
upbraid,v express criticism towards
verdant,s. characterized by abundance of verdure
vertex,"n. the point of intersection of lines or the point opposite the base of a figure
n. the highest point (of something)"
attenuate,"v. become weaker, in strength, value, or magnitude
s. reduced in strength"
behemoth,"n someone or something that is abnormally large and powerful
n a person of exceptional importance and reputation"
disinter,v. dig up for reburial or for medical investigation; of dead bodies
impinge,v. impinge or infringe upon
multifarious,s having many aspects
oxymoron,n. conjoining contradictory terms (as in `deafening silence')
plenitude,n a full supply
postulate,"n. (logic) a proposition that is accepted as true in order to provide a basis for logical reasoning
v. take as a given; assume as a postulate or axiom"
prevail,"v. be valid, applicable, or true
v. continue to exist
v. prove superior
v. use persuasion successfully"
putrefy,v. become putrid; decay with an offensive smell
salubrious,s. favorable to health of mind or body
succulent,n. a plant adapted to arid conditions and characterized by fleshy water-storing tissues that act as water reservoirs
tundra,n. a vast treeless plain in the Arctic regions where the subsoil is permanently frozen
unequivocal,a. admitting of no doubt or misunderstanding; having only one meaning or interpretation and leading to only one conclusion
vicissitudes,"plural of vicissitude
n. a variation in circumstances or fortune at different times in your life or in the development of something
n. mutability in life or nature (especially successive alternation from one condition to another)"
amity,"n. a cordial disposition
n. a state of friendship and cordiality"
animadversion,n harsh criticism or disapproval
antithetical,s sharply contrasted in character or purpose
bellicose,s having or showing a ready disposition to fight
bucolic,a. relating to shepherds or herdsmen or devoted to raising sheep or cattle
craven,s. lacking even the rudiments of courage; abjectly fearful
exalt,"v. raise in rank, character, or status"
impugn,v. attack as false or wrong
introspective,a. given to examining own sensory and perceptual experiences
métier,none
penurious,"s not having enough money to pay for necessities
s excessively unwilling to spend"
privation,"n. a state of extreme poverty
n. act of depriving someone of food or money or rights"
sobriquet,n a familiar name for a person (often a shortened version of a person's given name)
tantamount,s being essentially equal to something
throes,n. violent pangs of suffering
altruism,n. the quality of unselfish concern for the welfare of others
concurrent,s occurring or operating at the same time
context,"n. discourse that surrounds a language unit and helps to determine its interpretation
n. the set of facts or circumstances that surround a situation or event"
crass,s. (of persons) so unrefined as to be lacking in discrimination and sensibility
cuisine,n. the practice or manner of preparing food or the food so prepared
debase,v. lower in value by increasing the base-metal content
enjoin,v. issue an injunction
extemporaneous,s with little or no preparation or forethought
genesis,"n. a coming into being
n. the first book of the Old Testament: tells of Creation; Adam and Eve; the Fall of Man; Cain and Abel; Noah and the flood; God's covenant with Abraham; Abraham and Isaac; Jacob and Esau; Joseph and his brothers"
libation,"n. (facetious) a serving of an alcoholic beverage
n. a serving (of wine) poured out in honor of a deity
n. the act of pouring a liquid offering (especially wine) as a religious ceremony"
malaise,n. physical discomfort (as mild sickness or depression)
platitude,n. a trite or obvious remark
reconcile,v. come to terms
sunder,"v. break apart or in two, using violence"
travail,"n concluding state of pregnancy; from the onset of contractions to the birth of a child
n use of physical or mental energy; hard work
v work hard"
abeyance,n. temporary cessation or suspension
buttress,"n. a support usually of stone or brick; supports the wall of a building
v. reinforce with a buttress
v. make stronger or defensible"
commensurate,a. corresponding in size or degree or extent
dilatory,s. wasting time
ecumenical,"s concerned with promoting unity among churches or religions
s of worldwide scope or applicability"
facade,"n. the face or front of a building
n. a showy misrepresentation intended to conceal something unpleasant"
gargoyle,"n. a spout that terminates in a grotesquely carved figure of a person or animal
n. an ornament consisting of a grotesquely carved figure of a person or animal"
moot,"n. a hypothetical case that law students argue as an exercise
s. of no legal significance (as having been previously decided)"
pinnacle,"n. (architecture) a slender upright spire at the top of a buttress of tower
n. a lofty peak
v. surmount with a pinnacle
v. raise on or as if on a pinnacle"
requiem,"n. a musical setting for a Mass celebrating the dead
n. a Mass celebrated for the dead"
sacrosanct,s must be kept sacred
sensuous,s. taking delight in beauty
tenet,n a religious doctrine that is proclaimed as true without proof
transcend,"v be greater in scope or size than some standard
v be superior or better than some standard"
venue,"n. the scene of any event or action (especially the place of a meeting)
n. in law: the jurisdiction where a trial will be held"
arbiter,"n. someone with the power to settle matters at will
n. someone chosen to judge and decide a disputed issue"
conclave,n. a confidential or secret meeting
concomitant,"n an event or situation that happens at the same time as or in connection with another
s following or accompanying as a consequence"
coterie,n an exclusive circle of people with a common purpose
demur,"n. (law) a formal objection to an opponent's pleadings
v. take exception to
v. enter a demurrer"
entice,v. provoke someone to do something through (often false or exaggerated) promises or persuasion
flaunt,"n. the act of displaying something ostentatiously
v. display proudly; act ostentatiously or pretentiously"
genteel,s marked by refinement in taste and manners
graphic,"n. an image that is generated by a computer
s. written or drawn or engraved
s. describing nudity or sexual activity in graphic detail
a. of or relating to the graphic arts"
inimical,s not friendly
inordinate,s beyond normal limits
ludicrous,"s broadly or extravagantly humorous; resembling farce
s incongruous; inviting ridicule"
oligarchy,n. a political system governed by a few people
redoubtable,s. worthy of respect or honor
repugnant,s offensive to the mind
archives,n. collection of records especially about an institution
chattel,n. personal as opposed to real property; any tangible movable property (furniture or domestic animals or a car etc)
commodious,a. large and roomy (`convenient' is archaic in this sense)
conflagration,n. a very intense and uncontrolled fire
limbo,"n. an imaginary place for lost or neglected things
n. (theology) in Roman Catholicism, the place of unbaptized but innocent or righteous souls (such as infants and virtuous individuals)"
lineage,n. the descendants of one individual
listless,s. lacking zest or vivacity
metropolis,"n a large and densely populated urban area; may include several independent administrative districts
n people living in a large densely populated municipality"
perfunctory,"s hasty and without attention to detail; not thorough
s as a formality only"
pristine,"s. completely free from dirt or contamination
s. immaculately clean and unused"
ramshackle,s in deplorable condition
sequester,"v. requisition forcibly, as of enemy property
v. undergo sequestration by forming a stable compound with an ion
v. set apart from others"
subversive,"n a radical supporter of political or social revolution
s in opposition to a civil authority or government"
terminus,"n. (architecture) a statue or a human bust or an animal carved out of the top of a square pillar; originally used as a boundary marker in ancient Rome
n. either end of a railroad or bus route"
virulent,a. infectious; having the ability to cause disease
autocratic,s. offensively self-assured or given to exercising usually unwarranted power
caustic,"n. any chemical substance that burns or destroys living tissue
s. of a substance, especially a strong acid; capable of destroying or eating away by chemical action"
debilitate,v make weak
duplicitous,s marked by deliberate deceptiveness especially by pretending one set of feelings and acting under the influence of another
emissary,n. someone sent on a mission to represent the interests of someone else
felicitous,"a. exhibiting an agreeably appropriate manner or style
s. marked by good fortune"
forthright,"s characterized by directness in manner or speech; without subtlety or evasion
r directly and without evasion; not roundabout"
impecunious,s not having enough money to pay for necessities
jaundiced,"s. affected by jaundice which causes yellowing of skin etc
s. showing or affected by prejudice or envy or distaste"
mercenary,"n. a person hired to fight for another country than their own
s. serving for wages in a foreign army"
notorious,s known widely and usually unfavorably; 
oust,"v. remove from a position or office
v. remove and replace"
parsimonious,s. excessively unwilling to spend
pejorative,s expressing disapproval
precept,"n rule of personal conduct
n a doctrine that is taught"
bereft,s. unhappy in love; suffering from unrequited love
criterion,n. the ideal in terms of which something can be judged
deride,v. treat or speak of with contempt
effrontery,n audacious (even arrogant) behavior that you have no right to
espouse,"v. take up the cause, ideology, practice, method, of someone and use it as one's own"
hypocrisy,"n. an expression of agreement that is not supported by real conviction
n. insincerity by virtue of pretending to have qualities or beliefs that you do not really have"
impending,"v be imminent or about to happen
s close in time; about to occur"
incensed,"v perfume especially with a censer
v make furious
s angered at something unjust or wrong"
pertinent,s. having precise or logical relevance to the matter at hand
promulgate,v. put a law into effect by formal declaration
proscribe,v command against
redress,n. act of correcting an error or a fault or an evil
regime,"n the organization that is the governing authority of a political unit
n (medicine) a systematic plan for therapy (often including diet)"
retribution,"n. a justly deserved penalty
n. the act of correcting for your wrongdoing"
substantiate,"v. solidify, firm, or strengthen"
aegis,"n kindly endorsement and guidance
n armor plate that protects the chest; the front part of a cuirass"
bauble,n. a mock scepter carried by a court jester
complaisant,s. showing a cheerful willingness to do favors for others
consolidate,"v. unite into one
v. make firm or secure; strengthen
v. bring together into a single whole or system
v. form into a solid mass or whole"
depredation,n. an act of plundering and pillaging and marauding
epiphany,"n. a divine manifestation
n. twelve days after Christmas; celebrates the visit of the three wise men to the infant Jesus"
moratorium,"n. a legally authorized postponement before some obligation must be discharged
n. suspension of an ongoing activity"
pendulous,s having branches or flower heads that bend downward
portend,v indicate by signs
pragmatic,a. of or concerning the theory of pragmatism
reprieve,"n. a (temporary) relief from harm or discomfort
n. a warrant granting postponement (usually to postpone the execution of the death sentence)
n. the act of reprieving; postponing or remitting punishment
v. postpone the punishment of a convicted criminal, such as an execution"
stentorian,s used of the voice
tenure,"n. the term during which some position is held
n. the right to hold property; part of an ancient hierarchical system of holding lands
v. give life-time employment to"
unilateral,"a. involving only one part or side
s. tracing descent from either the paternal or the maternal line only"
viable,s. capable of life or normal growth and development
ambidextrous,"a. equally skillful with each hand
s. marked by deliberate deceptiveness especially by pretending one set of feelings and acting under the influence of another"
antipathy,"n. a feeling of intense dislike
n. the object of a feeling of intense aversion; something to be avoided"
deleterious,s. harmful to living things
excoriate,"v express strong disapproval of
v tear or wear off the skin or make sore by abrading"
extrapolate,v. gain knowledge of (an area not known or experienced) by extrapolating
grisly,s shockingly repellent; inspiring horror
idiosyncrasy,n. a behavioral attribute that is distinctive and peculiar to an individual
impute,"v. attribute or credit to
v. attribute (responsibility or fault) to a cause or source"
maladroit,a. not adroit
negate,v. prove negative; show to be false
passé,none
pedagogue,n someone who educates young people
preponderance,"n. superiority in power or influence
n. a superiority in numbers or amount
n. exceeding in heaviness; having greater weight"
propound,"v. put forward, as of an idea"
stance,n. standing posture
