arroyo,n. a stream or brook
brook,n. a natural stream of water smaller than a river (and often a tributary of a river)
canyon,n. a ravine formed by a river in an area with little rainfall
cape,"n. a strip of land projecting into a body of water
n. a sleeveless garment like a cloak but shorter"
cavern,"n. any large dark enclosed space
n. a large cave or a large chamber in a cave
v. hollow out as if making a cavern"
crater,"n. a faint constellation in the southern hemisphere near Hydra and Corvus
n. a bowl-shaped depression formed by the impact of a meteorite or bomb"
creek,n. any member of the Creek Confederacy (especially the Muskogee) formerly living in Georgia and Alabama but now chiefly in Oklahoma
crest,"n. the top line of a hill, mountain, or wave
n. (heraldry) in medieval times, an emblem used to decorate a helmet
n. a showy growth of e.g. feathers or skin on the head of a bird or other animal
v. reach a high point"
eddy,"n. founder of Christian Science in 1866 (1821-1910)
n. a miniature whirlpool or whirlwind resulting when the current of a fluid doubles back on itself
v. flow in a circular current, of liquids"
fluvial,a. of or relating to or happening in a river
ford,"n. United States film maker (1896-1973)
n. grandson of Henry Ford (1917-1987)
n. son of Henry Ford (1893-1943)
n. English writer and editor (1873-1939)"
geyser,"n. a spring that discharges hot water and steam
v. to overflow like a geyser"
gorge,"n. a deep ravine (usually with a river running through it)
v. overeat or eat immodestly; make a pig of oneself"
grotto,n. a small cave (usually with attractive features)
insular,"a. relating to or characteristic of or situated on an island
s. suggestive of the isolated life of an island; so deeply private as to seem inaccessible to the scrutiny of a novelist""- Leonard Michaels
s. narrowly restricted in outlook or scope"
isthmus,"n. a relatively narrow strip of land (with water on both sides) connecting two larger land areas
n. a cord-like tissue connecting two larger parts of an anatomical structure"
marine,"n. a member of the United States Marine Corps
n. a soldier who serves both on shipboard and on land
a. of or relating to the sea
a. of or relating to military personnel who serve both on land and at sea (specifically the U.S. Marine Corps)"
maritime,s. bordering on or living or characteristic of those near the sea
marsh,"n. low-lying wet land with grassy vegetation; usually is a transition zone between land and water
n. United States painter (1898-1954)
n. New Zealand writer of detective stories (1899-1982)"
mesa,"n. flat tableland with steep edges
n. a city in Arizona just to the east of Phoenix; originally a suburb of Phoenix"
mire,"n. a soft wet area of low-lying land that sinks underfoot
n. a difficulty or embarrassment that is hard to extricate yourself from
v. cause to get stuck as if in a mire"
oasis,n. a fertile tract in a desert (where the water table approaches the surface)
peninsula,n. a large mass of land projecting into a body of water
pinnacle,"n. (architecture) a slender upright spire at the top of a buttress of tower
n. a lofty peak
v. surmount with a pinnacle
v. raise on or as if on a pinnacle"
precipice,n. a very steep cliff
ravine,n. a deep narrow steep-sided valley (especially one formed by running water)
ridge,"n. a long narrow natural elevation or striation
n. any long raised strip
n. a long narrow natural elevation on the floor of the ocean
n. a long narrow range of hills"
rivulet,n. a small stream
shoal,"n. a sandbank in a stretch of water that is visible at low tide
n. a stretch of shallow water"
strait,"n. a narrow channel of the sea joining two larger bodies of water
s. narrow"
stratum,n. one of several parallel layers of material arranged one on top of another (such as a layer of tissue or cells in an organism or a layer of sedimentary rock)
swamp,"n. low land that is seasonally flooded; has more woody plants than a marsh and better drainage than a bog
n. a situation fraught with difficulties and imponderables
v. drench or submerge or be drenched or submerged"
whirlpool,n. a powerful circular current of water (usually the result of conflicting tides)
cascade,"n. a small waterfall or series of small waterfalls
n. a succession of stages or operations or processes or units
v. rush down in big quantities, like a cascade
v. arrange (open windows) on a computer desktop so that they overlap each other, with the title bars visible"
crag,n. a steep rugged rock or cliff
estuary,n. the wide part of a river where it nears the sea; fresh and salt water mix
gulch,n. a narrow gorge with a stream running through it
knoll,n. a small natural hill
lagoon,n. a body of water cut off from a larger body by a reef of sand or coral
moor,"n. one of the Muslim people of north Africa; of mixed Arab and Berber descent; converted to Islam in the 8th century; conqueror of Spain in the 8th century
n. open land usually with peaty soil covered with heather and bracken and moss
v. secure in or as if in a berth or dock
v. come into or dock at a wharf"
morass,n a soft wet area of low-lying land that sinks underfoot
quagmire,n a soft wet area of low-lying land that sinks underfoot
scarp,"n a long steep slope or cliff at the edge of a plateau or ridge; usually formed by erosion
n a steep artificial slope in front of a fortification"
tundra,n. a vast treeless plain in the Arctic regions where the subsoil is permanently frozen
arid,"s. lacking sufficient water or rainfall
s. lacking vitality or spirit; lifeless"
avalanche,"n. a slide of large masses of snow and ice and mud down a mountain
n. a sudden appearance of an overwhelming number of things
v. gather into a huge mass and roll down a mountain, of snow"
balmy,"s. informal or slang terms for mentally irregular
s. mild and pleasant"
barometer,n. an instrument that measures atmospheric pressure
blast,"n. a very long fly ball
n. an explosion (as of dynamite)
v. make a strident sound
v. use explosives on"
diurnal,"a. of or belonging to or active during the day
s. having a daily cycle or occurring every day"
bleak,s. unpleasantly cold and damp
blizzard,n. a storm with widespread snowfall accompanied by strong winds
bluster,"n. noisy confusion and turbulence
n. a violent gusty wind
v. blow hard; be gusty, as of wind"
centigrade,a. of or relating to a temperature scale on which the freezing point of water is 0 degrees and the boiling point of water is 100 degrees
cloudburst,n a heavy rain
cumulus,n. a globular cloud
cyclone,"n. (meteorology) rapid inward circulation of air masses about a low pressure center; circling counterclockwise in the northern hemisphere and clockwise in the southern
n. a violent rotating windstorm"
damp,"n. a slight wetness
v. restrain or discourage
s. slightly wet"
deluge,v. fill quickly beyond capacity; as with a liquid
desiccate,"v preserve by removing all water and liquids from
v remove water from
v lose water or moisture
s lacking vitality or spirit; lifeless"
downpour,n. a heavy rain
drizzle,"n. very light rain; stronger than mist but less than a shower
v. rain lightly
v. moisten with fine drops"
drizzly,s wet with light rain
drought,"n. a shortage of rainfall
n. a prolonged shortage"
frigid,s. devoid of warmth and cordiality; expressive of unfriendliness or disdain
frigidity,n. sexual unresponsiveness (especially of women) and inability to achieve orgasm during intercourse
glacial,a. relating to or derived from a glacier
gust,n. a strong current of air
hail,"n. precipitation of ice pellets when there are strong rising air currents
n. many objects thrown forcefully through the air
n. enthusiastic greeting
v. be a native of"
halo,n. a circle of light around the sun or moon
humid,s. containing or characterized by a great deal of water vapor
humidity,n. wetness in the atmosphere
hurricane,n. a severe tropical cyclone usually with heavy rains and winds moving a 73-136 knots (12 on the Beaufort scale)
icicle,"n. ice resembling a pendent spear, formed by the freezing of dripping water"
inclement,"a. (of weather or climate) severe
a. used of persons or behavior; showing no clemency or mercy"
landslide,"n. an overwhelming electoral victory
n. a slide of a large mass of dirt and rock down a mountain or cliff"
meteorology,"n. predicting what the weather will be
n. the earth science dealing with phenomena of the atmosphere (especially weather)"
monsoon,"n. a seasonal wind in southern Asia; blows from the southwest (bringing rain) in summer and from the northeast in winter
n. rainy season in southern Asia when the southwestern monsoon blows, bringing heavy rains
n. any wind that changes direction with the seasons"
perishing,v pass from physical life and lose all bodily attributes and functions necessary to sustain life
piercing,"v cut or make a way through
v move or affect (a person's emotions or bodily feelings) deeply or sharply
v sound sharply or shrilly
v penetrate or cut through with a sharp instrument
v make a hole into
s having or demonstrating ability to recognize or draw fine distinctions
s painful as if caused by a sharp instrument"
precipitation,"n. the quantity of water falling to earth at a specific place within a specified period of time
n. the process of forming a chemical precipitate
n. the falling to earth of any form of water (rain or snow or hail or sleet or mist)"
seismic,s. subject to or caused by an earthquake or earth vibration
snowdrift,n. a mass of snow heaped up by the wind
stuffy,s. affected with a sensation of stoppage or obstruction
sultry,s. characterized by oppressive heat and humidity
sweltering,s. excessively hot and humid or marked by sweating and faintness
tempest,n. (literary) a violent wind
tornado,n. a localized and violently destructive windstorm occurring over land characterized by a funnel-shaped cloud extending toward the ground
tremor,"n. an involuntary vibration (as if from illness or fear)
n. a small earthquake
n. shaking or trembling (usually resulting from weakness or stress or disease)
v. shake with seismic vibrations"
zephyr,n. (Greek mythology) the Greek god of the west wind
aureole,n. the outermost region of the sun's atmosphere; visible as a white halo during a solar eclipse
aurora,"n. an atmospheric phenomenon consisting of bands of light caused by charged solar particles following the earth's magnetic lines of force
n. (Roman mythology) goddess of the dawn; counterpart of Greek Eos"
gale,n. a strong wind moving 45-90 knots; force 7 to 10 on Beaufort scale
gloaming,n the time of day immediately following sunset
leeward,"n. the direction in which the wind is blowing
a. on the side away from the wind
r. toward the wind"
mistral,n. a strong north wind that blows in France during the winter
scorching,"s. hot and dry enough to burn or parch a surface
r. capable of causing burns"
sizzler,none
teem,"v. be teeming, be abuzz"
