fray,v. wear away by rubbing
obsolete,s no longer in use
slavish,"s. blindly imitative
s. abjectly submissive; characteristic of a slave or servant"
strained,s. showing signs of mental and emotional tension
groom,"n. a man participant in his own marriage ceremony
n. a man who has recently been married
v. care for one's external appearance"
shun,v. avoid and stay away from deliberately; stay clear of
civility,n. formal or perfunctory politeness
gentility,n elegance by virtue of fineness of manner and expression
loutish,s ill-mannered and coarse and contemptible in behavior or appearance
cumulative,s increasing by successive addition
trivial,s. concerned with trivialities
offensive,"s. violating or tending to violate or offend against
a. for the purpose of attack rather than defense
a. causing anger or annoyance
a. unpleasant or disgusting especially to the senses"
manifest,"n. a customs document listing the contents put on a ship or plane
v. record in a ship's manifest
v. reveal its presence or make an appearance"
resonance,"n. an excited state of a stable particle causing a sharp maximum in the probability of absorption of electromagnetic radiation
n. a vibration of large amplitude produced by a relatively small vibration near the same frequency of vibration as the natural frequency of the resonating system
n. the quality imparted to voiced speech sounds by the action of the resonating chambers of the throat and mouth and nasal cavities"
feminism,n. a doctrine that advocates equal rights for women
blur,"n. a hazy or indistinct representation
v. to make less distinct or clear
v. make dim or indistinct
v. become vague or indistinct"
derision,"n. contemptuous laughter
n. the act of deriding or treating with contempt"
imbecile,s. having a mental age of three to seven years
parasite,n. an animal or plant that lives in or on a host (another animal or plant); it obtains nourishment from the host without benefiting or killing the host
villainous,s extremely wicked
toff,n. informal term for an upper-class or wealthy person
constraint,"n. the state of being physically constrained
n. the act of constraining; the threat or use of force to control the thoughts or behavior of others"
failing,"n. a flaw or weak point
n. failure to reach a minimum required performance
s. below acceptable in performance"
trendy,s. in accord with the latest fad
bemoan,v regret strongly
deliberate,s. carefully thought out in advance
sartorial,"a. of or relating to the sartorius muscle
a. of or relating to a tailor or to tailoring"
aspiration,"n. a will to succeed
n. a manner of articulation involving an audible release of breath"
ubiquitous,s being present everywhere at once
utilitarian,"n. someone who believes that the value of a thing depends on its utility
s. having a useful function
s. having utility often to the exclusion of values"
impoverishment,"n the state of having little or no money and few or no material possessions
n the act of making someone poor"
taboo,"n. a prejudice (especially in Polynesia and other South Pacific islands) that prohibits the use or mention of something because of its sacred nature
n. an inhibition or ban resulting from social custom or emotional aversion
v. declare as sacred and forbidden
s. forbidden to profane use especially in South Pacific islands"
erode,"v. become ground down or deteriorate
v. remove soil or rock"
orientation,"n. the act of orienting
n. an integrated set of attitudes and beliefs
n. position or alignment relative to points of the compass or other specific directions
n. a person's awareness of self with regard to position and time and place and personal relationships"
oxidize,v. add oxygen to or combine with oxygen
nectar,"n. a sweet liquid secretion that is attractive to pollinators
n. fruit juice especially when undiluted"
flex,"n. the act of flexing
v. contract
v. exhibit the strength of
v. bend a joint"
abyss,n. a bottomless gulf or pit; any unfathomable (or apparently unfathomable) cavity or chasm or void extending below (often used figuratively)
crook,"n. a long staff with one end being hook shaped
v. bend or cause to bend"
aerosol,"n. a cloud of solid or liquid particles in a gas
n. a dispenser that holds a substance under pressure and that can release it as a fine spray (usually by means of a propellant gas)"
prowess,n a superior skill that you can learn by study and practice and observation
detest,v dislike intensely; feel antipathy or aversion towards
defraud,v deprive of by deceit
zest,v. add herbs or spices to
rigging,n. gear consisting of ropes etc. supporting a ship's masts and sails
swirl,"n the shape of something rotating rapidly
v turn in a twisting or spinning motion
v flow in a circular current, of liquids"
trudge,n. a long difficult walk
tributary,"s. (of a stream) flowing into a larger stream
s. paying tribute"
stub,"n. a short piece remaining on a trunk or stem where a branch is lost
n. a torn part of a ticket returned to the holder as a receipt
n. the part of a check that is retained as a record
v. pull up (weeds) by their roots"
truce,n a state of peace agreed to between opponents so they can discuss peace terms
fetter,"n. a shackle for the ankles or feet
v. restrain with fetters"
languish,v. become feeble
inhibit,"v. limit the range or extent of
v. limit, block, or decrease the action or function of
v. control and refrain from showing; of emotions, desires, impulses, or behavior"
being,n. the state or fact of existing
merge,"v become one
v mix together different elements
v join or combine"
subliminal,s. below the threshold of conscious perception
