astonish,vt.使惊讶
astonishing,adj.可惊异的
fortunate,"adj.幸运的,幸福的"
unfortunately,adv.不幸地
badly off,
teens,n.十多岁
ordinary,"adj.平常的,普通的,平凡的n.[律] 推事,<英>[宗]罪犯的忏悔牧师"
bored,"adj.无聊的,无趣的,烦人的,"
subtle,"adj.狡猾的,敏感的,微妙的,精细的,稀薄的"
entertain,"vt.娱乐,招待,接受,怀抱vi.款待"
entertaining,"adj.愉快的,有趣的n.招待,款待"
charming,"adj.迷人的,娇媚的"
tramp,"v.重步行走,踏,践,践踏"
throughout," prep.遍及,贯穿adv.到处,始终,全部"
homeless,"adj.无家的,无家可归的"
moustache,"n.小胡子,(哺乳动物的)触须"
worn,"adj.用旧的,疲倦的 vbl.wear的过去分词"
worn-out,
stiffly,"adv.顽固地,呆板地,僵硬地"
failure,"n.失败,失败者,缺乏,失灵,故障,破产,疏忽,<美>不及格"
optimism,"n.乐观,乐观主义"
overcome,"vt.战胜,克服,胜过,征服vi.得胜"
underdog,"n.失败者,受压迫者"
snowstorm,n.暴风雪
leather,"n.皮革,皮革制品"
pick out,
lace,"n.饰带,花边,缎带,鞋带vt.扎带子,扎,饰以花边vi.缚带子"
cut off,
chew,"vt.咀爵(食物等)v.咀嚼,认真考虑"
mouthful,"n.一口,满口"
enjoyment,"n.享乐,快乐,享受乐事"
convince,"vt.使确信,使信服"
convincing,"adj.令人信服的,有力的,令人心悦诚服的"
direct,"adj.径直的,直接的,直系的,直率的,[天]由西向东运行的,顺行的adv.直接地vt.指引,指示,指挥,命令,导演vi.指导,指挥"
star in,
Oscar,
outstanding,"adj.突出的,显著的"
Switzerland,
confidence,n.信心
costume,"n.装束,服装"
gesture,"n.姿态,手势,表示v.作手势,以手势表示"
particular,"n.细节,详细adj.特殊的,特别的,独特的,详细的,精确的,挑剔"
particularly,"adv.独特地,显著地"
occasion,"n.场合,时机,机会"
budget,"n.预算vi.做预算,编入预算"
actress,n.女演员
slide,"v.(使)滑动,(使)滑行n.滑,滑动,幻灯片"
amuse,"vt.使发笑,使愉快"
amusing,adj.有趣的
pancake,n.薄烤饼
explanation,"n.解释,解说,说明,辩解,互相讲明"
detective,n.侦探adj.侦探的
Sherlock Holmes,
mountainous,"adj.多山的,山一般的,巨大的"
whisper,"n.耳语,私语,密谈,谣传,飒飒的声音vi.耳语,密谈,飒飒地响vt.低声说"
vast,"adj.巨大的,辽阔的,大量的,巨额的"
rhythm,"n.节奏,韵律"
mess,"n.混乱,脏乱v.弄乱"
react,"vi.起反应,起作用,反抗,起反作用"
porridge,"n.麦片粥,粥,<俚>服刑"
drunk,adj.喝醉了的 vbl.drink 的过去分词
statement,"n.声明,陈述,综述"
greet,"vt.问候,向...致意,获悉(消息),映入眼帘"
represent,"vt.表现,描绘,声称,象征,扮演,回忆,再赠送,再上演vi.提出异议"
association,"n.协会,联合,结交,联想"
dormitory,n.宿舍
canteen,"n.小卖部,食具箱,饭盒,(军用)水壶"
flight,"n.飞行,逃走,飞跃,飞机的航程,班机,追逐,楼梯的一段,射程vi.成群飞行,迁徙vt.射击(飞禽),使惊飞"
curious,"adj.好奇的,求知的,古怪的,爱挑剔的"
curiously,adv.好奇地
Garcia,
Colombia,
approach,"n.接近,逼近,走进,方法,步骤,途径,通路vt.接近,动手处理vi.靠近"
cheek,"n.颊,厚颜,类似颊的事物,<俚>臀部"
defend,"vt.防护,辩护,防卫,[律]作...的辩护律师"
defend ... against,
defence,"n.防卫,防卫设备n.[律](被告的)答辩、辩护"
major,"n.<美>[教]主修课,[律]成年人,[乐]大调adj.主修的,成年的,大调的vi.主修"
misunderstand,"vt.误解,误会"
misunderstood,
misunderstanding,"n.误会,误解"
Akira Nagata,
Ahmed Aziz,
Jordan,
Darlene Coulon,
dash,"n.少量(搀加物),冲撞,破折号,锐气,精力,干劲vi.猛掷,冲撞vt.泼溅,使猛撞,搀和,使破灭,使沮丧,匆忙完成"
adult,"n.成人,成年人adj.成人的,成熟的"
simply,"adv.简单地,完全,简直,仅仅,只不过,朴素地,只是"
Muslim,
