recoil,"n.畏缩,后退,弹回,反作用,后座力vi.退却,畏缩,弹回,撤退,反冲"
approximate,"adj.近似的,大约的v.近似,接近,接近,约计"
inveterate,"adj.根深的,成癖的"
successive,"adj.继承的,连续的"
feminine,"adj.妇女(似)的,娇柔的,阴性的,女性的"
flounder,"vi.(在水中)挣扎,困难地往前走,踌躇,发慌n.挣扎,辗转,比目鱼"
bustle,v.匆匆忙忙
abstain,"v.禁绝,放弃"
stalemate,n.僵局v.成为僵局
epigram,"n.警句,讽刺短诗"
fender,"n.防卫物,挡泥板"
hapless,"adj.倒霉的,不幸的"
flourish,"vi.繁荣,茂盛,活跃,手舞足蹈,兴旺,处于旺盛时期vt.挥动,夸耀n.茂盛,兴旺,华饰,繁荣"
treaty,"n.条约,谈判"
metaphysical,"adj.形而上学的,纯粹哲学的,超自然的"
vindictive,adj.报复性的
gruff,"adj.(说话、态度等) 粗暴的,生硬的,脾气坏的,(声音)粗哑的"
narrate,"v.叙述,讲述,作解说,讲故事"
column,"n.圆柱,柱壮物,专栏,纵队"
adamant,adj.坚硬的
poetic,adj.诗歌的
intermittent,"adj.间歇的,断断续续的"
forego,"vt.(在位置时间或程度方面)走在...之前,居先"
smear,"v.涂上,抹掉,涂污,诽谤,抹去n.油迹,污点,涂片,釉,中伤"
knowledgeable,"adj.知识渊博的,有见识的"
frisky,"adj.活泼的,欢闹的,"
unruly,"adj.不受拘束的,不守规矩的,蛮横的,难驾驭的"
epitaph,"n.墓志铭,碑文"
potent,"adj.有力的,有效的"
silt,"n.淤泥,残渣,煤粉,泥沙v.(使)淤塞,充塞"
misdemeanour,n.行为不端
eclectic,"adj.折衷的,折衷学派的n.折衷主义者,折衷派的人"
sensible,"adj.有感觉的,明智的,有判断力的"
temerity,"n.卤莽,蛮勇"
sustenance,"n.食物,生计,(受)支持"
delinquency,"n.行为不良,错失"
fervent,adj.炽热的
glimpse,"n.一瞥,一看v.瞥见"
intricate,"adj.复杂的,错综的,难以理解的"
assuming,"adj.傲慢的,不逊的,僭越的"
chore,n.家务杂事
odium,"n.憎恶,讨厌"
defame,v.诽谤
cosset,"n.亲手饲养的宠物,宠儿vt.宠爱,珍爱,溺爱"
mirage,"n.海市蜃楼,雾气,幻想,妄想"
natal,"adj.出生的,诞生的"
legitimate,"adj.合法的,合理的,正统的v.合法"
jubilant,"adj.欢呼的,喜悦的,喜洋洋的"
abstract,"n.摘要,概要,抽象;adj.抽象的,深奥的,理论的;vt.摘要,提炼,抽象化"
lenient,"adj.宽大的,仁慈的,慈悲为怀的"
photosynthesis,n.光合作用
acerbic,"adj.酸的,尖刻的"
indebted,"adj.负债的,感恩的"
circumspect,"adj.慎重的,周到的"
outcry,n.大声疾呼
nascent,adj.初生的
paucity,n.极小量
confiscate,"vt.没收,充公,查抄,征用adj.被没收的"
verbatim,adj.逐字的adv.逐字地
ludicrous,"adj.可笑的,滑稽的,愚蠢的"
whip,"n.鞭子,车夫v.鞭打,抽打,突然移动"
steadfast,adj.坚定的
irascible,"adj.易怒的,暴躁的"
plummet,"n.铅锤,重荷vi.垂直落下"
prattle,"vi.说孩子气的话,说半截话,闲聊,胡说,唠叨vt.天真地说n.孩子话,无聊话,胡说,废话"
interrogate,"vt.审问,询问v.审问"
brazen,"adj.黄铜制的,厚颜无耻的"
maladroit,adj.不灵巧的
intellect,n.智力
perilous,adj.危险的
concord,"n.和谐,一致,和睦"
fallow,"n.休耕地adj.[农]休耕的,未孕的,潜伏发,不活跃的vt.使(土地)休闲,休整,潜伏(指潜在的特征等)"
spurn,v.弃绝
grunt,"vi.(猪等)作呼噜声,(表示烦恼、反对、疲劳、轻蔑等)发哼声vt.咕哝着说出n.呼噜声,咕哝"
torque,"n.扭矩,转矩"
winnow,"vt.簸,扬(谷),吹开糠皮,吹掉,精选vi.扬谷,分出好坏,飞行n.扬谷,扬谷器"
accord,"n.一致,符合,调和,协定;vt.一致,给与;vi.符合"
indolence,"n.懒惰,好逸恶劳,懒散,[医]无痛,[医]愈合缓慢"
seethe,v.沸腾
deceive,"v.欺骗,行骗"
coherent,"adj.粘在一起的,一致的,连贯的"
