coronavirus,"n. [微]日冕形病毒,冠状病毒"
novel coronavirus,无
2019-nCoV,无
reservoir for virus,无
pneumonia,"n. 肺炎
[医] 肺炎"
novel coronavirus pneumonia,无
NCP,[计] 网络控制程序
contagious,"a. 触染性的, 会蔓延的
[医] (接)触(传)染的"
infectious,"a. 有传染性的, 易传染的
[医] 传染性的"
outbreak,"n. 爆发, 暴动
[医] 暴发"
human-to-human transmission,无
droplet transmission,飞沫传播
imported case,无
confirmed case,确认病例
suspected case,疑似病例
secondary infection case,无
incubation period,[医] 潜伏期; 孵育期
asymptomatic infection,无症状感染
symptomless spreader,无
close contact,紧密接触
patient in critical condition,无
fatality rate,[医] 致死率
death toll,n. 死亡人数
symptom,"n. 症状, 征候, 征兆
[医] 症状"
fever,"n. 发烧, 发热, 热病
[医] 发热, 热"
dry cough,[医] 干咳
shortness of breath,"[医] 呼吸浅促, 呼吸浅短, 气促"
breathing difficulty,无
respiratory infection, [医]呼吸道感染
"fever, cough and difficulty in breathing",无
acute respiratory infection symptom,无
seafood market,无
ground zero,"na. 【军】(核)爆心投影点；(炸弹的)着地点；一片空白
[网络] 零场域"
illegal wild animals transaction,无
contain the spread,无
contain the outbreak,无
combat the virus,无
first-level public health emergency response,无
epidemic prevention and control,无
Public Health Emergency of International Concern,无
PHEIC,无
makeshift hospital, 临时医院
mobile cabin hospital,无
the lockdown of a city,无
a city is on lockdown,无
seal off the city,无
evacuate diplomats,无
be under medical observation,无
quarantine,"n. 隔离, 封锁交通, 检疫期
vt. 隔离, 排斥"
medical supplies,n. 医药用品；医疗设备和用品
vaccine,"n. 牛痘苗, 疫苗
a. 疫苗的, 牛痘的"
cure,"n. 治疗, 治愈, 治疗法
vt. 治疗, 治愈, 改正, 腌制, 加工处理, 使硫化
vi. 受治疗, 被加工处理, 被硫化"
mask,"n. 面具, 假面具, 掩饰, 石膏面模
vt. 戴面具, 掩饰, 使模糊
vi. 化装, 戴面具, 掩饰, 参加化装舞会
[计] 屏蔽; 掩码"
face mask,"[化] 面具; 防护面具
[医] 面印模罩, 面罩"
protective clothing,[医] 防护衣
protective suits,无
goggles,"n. 护目镜, 风镜
[化] 防护镜; 防护眼镜; 护目镜; 眼罩"
disposable gloves, [医]用后可弃手套
National Health Commission,无
NHC, [医][=national health council]全国卫生理事会，全国卫生协会
World Health Organization,"(联合国)世界卫生组织
[医] 世界卫生组织"
WHO,[网络] 世界卫生组织；世界卫生保健组织；世界健康组织
Chinese Center for Disease Control and Prevention,无
National Healthcare Security Administration,无
medical institution,[医] 医疗机构
