pencil,"n. 铅笔, 色笔, 眉笔, 画笔, 光线束
vt. 用铅笔写或涂, 草拟"
ruler,量尺
table,"n. 桌子, 餐桌, 工作台, 铭文, 表格, 表, 高原, 平地层
vt. 搁置, 嵌合, 制表, 把...列入议事日程
[计] 表格, 模拟运算表"
wall,[网络] 神经质的人更喜欢用板报；管壁；壁面边界
attic,"n. 阁楼, 顶楼
[医] 鼓室上隐窝"
basement,n. 地下室；地窖
bathroom,"na. 洗澡间；盥洗室；〈书〉厕所
[网络] 浴室；卫生间；浴室系列"
bedroom,[网络] 卧室；睡房；卧室系列
dining room,饭厅
garage,"n. 车库, 汽车修理厂, 机库
vt. 把车送入修车场"
kitchen,"n. 厨房, 全套炊具
[医] 厨房"
living room,"客厅, 起居室"
yard,"n. 码, 庭院, 工场
[化] 堆置场"
bank,"n. 银行, 堤, 岸
[医] 库"
hospital,"n. 医院
n. (Hospital)人名；(英)霍斯皮特尔"
library,"n. 图书馆, 藏书, 库
[计] 库"
movie theater,电影院
park,"n. 公园, 停车处
vt. 停车, 置于
vi. 停车"
post office,"邮局
[法] 邮局"
restaurant,[网络] 餐馆
supermarket,超级市场
zoo,"n. 动物园
[网络] 动物园的一天；早前版本的压缩文件；公园"
Hi. How are you?,无
Fine. And you?,无
"Fine, thanks.",无
eating,"n. 吃；饮食
adj. 食用的；可生吃的；腐蚀的
v. “eat”的现在分词
[网络] 进食；吃饭；吃东西"
drinking,"n. 喝, 喝酒"
cooking,"n. 烹饪
[化] 熬炼; 热炼; 蒸煮"
reading,"n. 阅读, 知识, 读物
a. 阅读的"
studying,v. 学习；研究（study的ing形式）
teaching,"n. 教学, 学说, 教导"
singing,"n. 歌唱, 歌声
[计] 振鸣; 蜂鸣"
sleeping,"n. 睡眠
a. 睡着的"
swimming,"n. 游泳, 眩晕"
planting,"n. 种植, 栽培, 播种, 人工林, 花圃, 苗圃"
watching TV, 看电视
listening to music,无
playing cards,"un. 打克牌
[网络] 扑克牌；纸牌；玩牌"
playing baseball,无
playing the piano,无
cooking dinner,[网络] 做饭；做晚餐；正在做饭
drinking milk,[网络] 喝牛奶比赛
drinking lemonade,无
eating breakfast,无
eating lunch,无
