childishly,"adv. 天真地, 幼小地; 幼稚地"
insist,"v. 坚持, 坚决主张, 强调"
nationalistic,a. 国家主义的
discipline,"n. 训练, 纪律
vt. 训练, 惩罚"
broad jump, 跳远
sophomore,"n. (大学)二年级生
a. 二年级学生的, 二年级的"
expect,"vt. 预期, 盼望, 期待"
trial,"n. 审判, 试验, 艰苦, 麻烦事, 考验
a. 审讯的, 试验性的"
startle,"n. 惊愕, 惊恐
vt. 吃惊, 使惊愕
vi. 惊起"
pit,"n. 深洞；深坑；矿井；麻子
v. 使…表面有斑点；在…上打洞；去掉…的果核
[网络] 凹坑；匹兹堡(Pittsburgh)；陷阱"
turn out to be,"结果是, 原来是, 证明是"
exception,"n. 例外, 除外, 异议
[计] 例外; 异常"
qualify,"vi. 取得资格, 有资格
vt. 使有资格, 使合格, 限定, 限制, 准予"
take-off,无
board,"n. 木板, 甲板, 膳食, 会议桌
vt. 乘船, 供膳食, 用板覆盖
vi. 搭伙
[计] 板"
foul,"a. 污秽的, 邪恶的, 恶臭的, 肮脏的, 恶劣的, 淤塞的
vt. 弄脏, 妨害, 污蔑, 犯规, 淤塞
vi. 腐烂, 犯规, 缠结
adv. 违反规则地, 不正当地
n. 犯规, 缠绕"
kick,"n. 踢, 反冲, 后座力, 凹底
vi. 踢, 反抗, 反冲
vt. 踢, 反冲"
disgustedly,adv. 厌烦地
dirt,"n. 污垢, 泥土
[化] 污垢"
twist,"n. 一扭, 扭曲, 曲折, 歪曲, 螺旋状, 新手法
vt. 拧, 扭, 捻, 编织, 使扭转, 缠绕, 盘绕, 歪曲, 使转动, 使苦恼, 使混乱, 使旋转
vi. 转向, 弯曲, 缠绕, 扭动, 呈螺旋形"
slang,"n. 俚语
v. 辱骂, 用俚语说"
take pains,"尽力, 耐心"
reassure,"vt. 使…安心, 使消除疑虑"
proceed to,进入...
peak,"n. 山峰, 巅, 山顶, 顶点, 尖峰, 帽舌
a. 最高的, 最大值的
vi. 到达最高点, 消瘦, 变憔悴, 逐渐缩小
vt. 使竖起, 使达到最高点"
at the instant,一…就…
glare at,怒视
stand,[网络] 热连轧机因受轧机
fake,"n. 假货, 欺骗, 诡计
a. 假的
vt. 假造, 仿造
vi. 伪装"
grip,"n. 紧握, 柄, 握力, 握手方式, 手提包, 掌握, 支配, 控制
vt. 抓紧, 抱住, 吸住, 掌握
vi. 握牢, 有吸引力"
plating,"n. 电镀, 镀层, 金属外表的镀层, 装甲
[化] 喷镀"
carat,"n. 克拉
[化] 开; 克拉(宝石、金刚石重量单位,等于0.2克)"
at the moment,此刻
have sth. in mind,"记得某事, 想到某事, 想要做某事"
have sb. in mind,无
essential,"n. 要素, 要点, 本质
a. 必要的, 重要的, 本质的
[计] 本质冒险"
extreme,"adj. 极端的；极度的；偏激的；尽头的
n. 极端；末端；最大程度；极端的事物"
exertion,"n. 努力, 发挥, 运用
[医] 劳力, 用力"
specialized,"a. 专门的, 特别的, 专科的, 特化的, 专化的
[计] 专业化的"
gear,"n. 齿轮, 工具
vt. 以齿轮连起, 开动, 使适应, 安排
vi. 连接上, 适合"
stunt,"n. 特技, 绝技, 花招, 噱头, 手腕, 发育不良
vt. 阻碍成长
vi. 表演特技"
steep,"n. 浸渍, 悬崖
a. 险峻的, 陡峭的, 急剧升降的, 夸大的
v. 浸, 泡"
windsurf,风帆
white-water rafting,无
rapids,n. 湍流；急流
bungy-jump,无
alternative,"n. 两者择一, 供替代的选择
a. 两者择一的, 供选择的
[计] 选择对象"
skateboard,n. 溜冰板
thrill,"n. 震颤, 激动, 刺激性, 一阵激动
vi. 震颤, 颤抖, 激动
vt. 使激动, 使颤动"
appeal,"n. 恳求, 诉请, 上诉, 吸引力
vi. 呼吁, 诉请, 要求, 上诉, 有吸引力
vt. 将...上诉"
sky surfing, 空中冲浪滑翔
contestant,"n. 竞争者
[法] 争辩者, 竞争者"
baggy,"a. 袋状的, 松垂的"
philosophy,"n. 哲学, 人生观, 哲学思想, 哲理, 基本原理, 见解, 达观, 沉着"
daredevil,"n. 铤而走险的人, 蛮勇的人
a. 蛮勇的, 不怕死的"
tentative,"n. 试验
a. 试验性的, 暂时的"
recreation,"n. 再创造；重新创造；再创造的事物
[网络] 二度创造"
hype,n. 大肆宣传；皮下注射
the Nobel Prize,n. 诺贝尔奖
award,"n. 奖品, 裁定, 判决
vt. 授予, 给予"
achievement,"n. 完成, 成就, 功业"
physiology,"n. 生理学, 生理机能
[医] 生理学"
be linked to,与...连接
administer,"vt. 管理；执行；给予
vi. 给予帮助；执行遗产管理人的职责；担当管理人"
Nobel Foundation,诺贝尔基金会
