staff,"n.棒,杖,杆,支柱,全体职员,[军]参谋机构,[音]五线谱vt.供给人员,充当职员"
Caius,
suspect,"n.嫌疑犯adj.令人怀疑的,不可信的,可疑的v.怀疑,猜想,对...有所觉察"
insult,"n.侮辱,凌辱vt.侮辱,凌辱"
scold,"v.责骂,申斥,斥责"
drunken,adj.酒醉的
scratch,"n.乱写,刮擦声,抓痕,擦伤vt.乱涂,勾抹掉,擦,刮,搔,抓,挖出vi.发刮擦声,搔,抓adj.打草稿用的,凑合的"
baggage,"n.行李,[军] 辎重"
demand,"n.要求,需求(量),需要v.要求,需要,要求知道,查询"
prop,"n.支持者,倚靠人,道具,螺旋桨vt.支撑,维持"
civil,"adj.全民的,市民的,公民的,国民的,民间的.民事的,根据民法的,文职的,有礼貌的"
trolleybus,无轨电车
register,"n.记录,登记簿,登记,注册,寄存器vt.记录,登记,注册,提示,把...挂号vi.登记,注册,挂号"
Maryann Jones,
Montgomery,
"Martin Luther King, Jr",
boycott,"n.vt.联合抵制,联合排斥某国货物或与某国绝交"
prohibit,"vt.禁止,阻止"
offence,"n.犯罪,冒犯,违反,罪过,过错n.[军] 攻击"
unjust,adj.不公平的
separation,"n.分离,分开"
tradition,"n.传统,惯例"
submit,"v.(使)服从,(使)顺从vt.提交,递交"
unwilling,"adj.不愿意的,勉强的"
seize,"v.抓住,逮住,夺取vt.没收,查封"
seize on,
collision,"n.碰撞,冲突"
collision course,
hopeful,"adj.怀有希望的,有希望的"
negotiate,"v.(与某人)商议,谈判,磋商,,买卖,让渡(支票、债券等),通过,越过"
chaos,"n.混乱,混沌(宇宙未形成前的情形)"
Serena,
sandal,"n.凉鞋,檀香,便鞋v.穿上便鞋"
punctual,"adj.严守时刻的,准时的"
coincidence,"n.一致,相合,同时发生或同时存在(尤指偶然)的事"
pedestrian,"n.步行者adj.徒步的,呆板的,通俗的"
march,"n.行军,步伐,进行曲vi.进军,前进vt.使行军,使行进n.(March)三月(略作Mar)"
pavement,"n.人行道,公路"
salute,"n.(尤指军队等之)举手礼,升降旗致敬,呜礼炮等,敬礼v.行礼致敬,敬礼"
abuse,"n.滥用,虐待,辱骂,陋习,弊端v.滥用,虐待,辱骂"
hostility,"n.敌意,恶意,不友善,敌对,对抗,反对"
resolve,"n.决心v.决心,决定,决心要,(使)分解,溶解,解决vt.解决"
prayer,n.祈祷
bomb,"n.炸弹vt.投弹于,轰炸"
supreme,"adj.极度的,极大的,至高的,最高的"
nationwide,adj.全国性的
constitution,"n.宪法,构造,体质,体格,国体,章程,惯例"
constitutional, /宪法
fundamental,"adj.基础的,基本的n.[pl.] 基本原则,基本原理"
battle,"n.战役(指大规模会战),战争vi.作战,战斗,搏斗,斗争"
happiness,
liberty,"n.自由,特权,随意,冒失,冒昧,失礼"
skim,v.撇去
evident,"adj.明显的,显然的"
self-evident,
brief,"n.摘要,大纲adj.简短的,短暂的vt.摘要,(军事)下达简令"
discrimination,"n.辨别,区别,识别力,辨别力,歧视"
philosophy,"n.哲学,哲学体系,达观,冷静"
Scout,
Atticus,
Jem,
Arthur,
commit,"vt.犯(错误),干(坏事),把...交托给,提交,答应负责"
Walter Cunningham,
Caroline,
live out,
creed,n.信条
brotherhood,"n.手足情谊,兄弟关系"
oasis,"n.(沙漠中)绿洲,(不毛之地中的)沃洲,舒适的地方"
Alabama,
symphony,"n.交响乐,交响曲"
Jew,
Gentile,
Protestant,
Catholic,
Negro,
almighty,adj.全能的
quotation,"n.引用语,价格,报价单,行情表"
metaphor,"n.[修辞]隐喻,暗喻,比喻说话"
simile,"n.[修辞]明喻,明喻的说法,明喻的词语用法"
Ewell,
Mayella,
dominate,"v.支配,占优势"
efficient,"adj.(直接)生效的,有效率的,能干的"
efficiently,"adv.有效率地,有效地"
centigrade,"adj.分为百度的,百分度的,摄氏温度的"
diameter,n.直径
recipe,n.处方
booklet,n.小册子
endeavour,"n.<英>尽力,竭力"
competent,"adj.有能力的,胜任的"
up to ...,
caption,"n.标题,说明,字幕vt.加上标题,加上说明"
digest,"n.分类,摘要vi.消化vt.消化,融会贯通"
beneath,adv.在...之下 prep.在...之下
adopt,"vt.采用,收养"
preview,"n.事先查看,[计]预览vt.事先查看,预展,预演"
frequent,"adj.时常发生的,频繁的"
in detail,
manual,"n.手册,指南adj.手的,手动的,手工的,体力的,手册(性质)的,[律]实际占有的"
New Zealand,
assess,"vt.估定,评定"
consult,"v.商量,商议,请教,参考,考虑"
underneath,adv.在下面 prep.在...的下面
shabby,"adj.破旧的,褴褛的,低劣的,卑鄙的,不公平的"
rainbow,"n.彩虹,五彩缤纷的排列,幻想,幻觉,虚无缥缈的东西adj.五彩缤纷的"
brewery,n.酿酒厂
acute,"adj.敏锐的,[医]急性的,剧烈"
bent,"n.倾向,爱好"
cab," 一种压缩文件格式;n.出租马车,出租汽车,计程车,(机车,卡车,起重机的)司机室,驾驶室vi.乘出租马车"
taxi,n.出租汽车v.乘坐出租汽车
currency,n.流通
lotus,
cuisine,"n.厨房烹调法,烹饪,烹调风格"
educator,n.教育家
seminar,"n.研究会,讨论发表会"
acquisition,"n.获得,获得物"
ballet,"n.芭蕾舞,芭蕾舞剧,芭蕾舞乐曲"
album,"n.集邮本,照相簿,签名纪念册"
resemble,"vt.象,类似"
cassette,"n.盒子,盒式磁带"
tend,"vi.趋向,往往是vt.照管,护理"
tend to,
tend to do sth,
messy,"adj.肮脏的,凌乱的,杂乱"
tiresome,"adj.无聊的,烦人的"
vague,"adj.含糊的,不清楚的,茫然的,暧昧的"
bonus,"n.奖金,红利"
auditory,"adj.耳的,听觉的"
tactile,"adj.触觉的,有触觉的,能触知的n.[心]触觉型"
oral,adj.口头的
component,"n.成分adj.组成的,构成的"
concrete,"adj.具体的,有形的n.混凝土v.用混凝土修筑,浇混凝土,凝结"
literary,"adj.文学(上)的,从事写作的,文艺的,精通文学的,书本的"
genre,"n.类型,流派"
recount,v.叙述
Agnes Grey,
Jane Austen,
Charlotte Brontё,
Tess of d'Urbevilles,
