aberrant,adj.异常的
aberration,n.失常
abjure,"vt.发誓放弃,避免,公开放弃"
aboveboard,adj.光明正大的
abrogate,"vt.废除,取消"
abstain,"v.禁绝,放弃"
abstruse,"adj.奥妙的,深奥的"
abysmal,"adj.深不可测的,无底的"
access,"n.通路,访问,入门vt.存取,接近"
accolade,"n.赞美,骑士爵位的授予,连谱号"
acerbic,"adj.酸的,尖刻的"
acme,"n.顶点,极致"
acrimony,"n.言谈举止上的刻毒,讽刺,毒辣"
adamant,adj.坚硬的
adequate,
adjudicate,"v.判决,宣判,裁定"
admonish,"vt.劝告,训诫,警告"
admonitory,adj.劝告的
advocate,"n.提倡者,鼓吹者vt.提倡,鼓吹"
aesthete,"n.审美家,唯美主义者"
aesthetic,"adj.美学的,审美的,有审美感的"
affable,adj.和蔼可亲的
affluent,"adj.丰富的,富裕的"
afford,"vt.提供,给予,供应得起,"
alacrity,"n.敏捷,活泼,爽快"
altruism,"n.利他主义,利他"
amalgam,"n.[采矿]汞合金,汞齐"
ambiguous,"adj.暧昧的,不明确的"
ambivalent,"adj.矛盾的,好恶相克的"
ameliorate,"v.改善,改进"
amenable,"adj.应服从的,有服从义务的,有责任的"
amiable,"adj.亲切的,和蔼可亲的"
amok,"adj.杀人狂adv.狂乱地,杀气腾腾地"
amorphous,"adj.无定形的,无组织的"
amply,"adv.充足地,详细地"
anachronism,n.时代错误
analogous,"adj.类似的,相似的,可比拟的"
anathema,"n.诅咒,咒逐,[宗]革出教门,被咒逐的人(物)"
anemic,"adj.贫血的,患贫血症的"
animosity,"n.仇恨,憎恶"
anodyne,"n.止痛剂,镇痛剂adj.止痛的"
anomalous,"adj.不规则的,反常的"
anomaly,"n.不规则,异常的人或物"
antedate,"n.比正确日期早的日期v.提早日期,居先"
antic,"n.丑角,滑稽动作adj.奇特的,滑稽可笑的"
antipathy,"n.憎恶,反感"
antiquated,adj.陈旧的
antithetical,"adj.正相反的,对立的"
apathetic,"adj.缺乏兴趣的,缺乏感情的,无动于衷的"
