essentially,"adv. 本质上, 本来"
substantially,"adv. 实质上, 本质上, 大体上"
essence,"n. 实质, 本质, 香精
[化] 香精"
essential,"n. 要素, 要点, 本质
a. 必要的, 重要的, 本质的
[计] 本质冒险"
theory,"n. 理论, 学说, 原理, 意见, 推测
[化] 理论"
in theory, 理论上
principle,"n. 原则, 原理, 主义
[化] 原理"
theorize,"vi. 建立理论, 讲理论, 推理"
theoretical,"a. 理论的, 理论上的, 假设的, 推理的
[计] 理论的"
abstract,"a. 抽象的, 深奥的
n. 摘要, 抽象概念
vt. 摘要, 提炼, 使抽象化
[计] 摘录; 摘要; 抽象"
abstract knowledge,无
abstraction,"n. 抽象化, 心不在焉, 空想, 提炼, 抽象派作品
[化] 提取; 抽取; 夺取; 夺取反应; 除去"
symbolic,"a. 象征的, 符号的
[电] 符号化"
symbolize,"vt. 符号化, 用符号表现
vi. 采用象征, 使用符号"
symbolism,"n. 象征主义, 符号论
[医] 象征主义"
representation,"n. 表示法, 表现, 陈述, 代表
[计] 表示法指定"
represent,"vt. 表现, 表示, 描绘, 讲述, 代表, 象征, 回忆, 再赠送, 再上演
vi. 提出异议"
representational,a. 代表的
conceive,"vt. 构思, 认为
vi. 怀孕"
conceivable,"a. 想得到的, 可想象的, 可理解的"
conception,"n. 观念, 概念
[医] 妊娠, 受孕; 概念"
deceive,"v. 欺骗, 行骗"
perceive,"v. 感觉; 认识, 理解; 察觉到, 意识到, 注意到"
accent,"n. 重音, 口音, 特点, 注重点
vt. 重读, 加重音号于, 强调"
foreign accent,无
alphabet,"n. 字母表
[网络] 爱法贝；字母系统；英文字母"
antonym,n. 反义词
consonant,"n. 辅音
a. 一致的, 调和的"
diction,"n. 措辞, 发音, 用语"
intricate,"a. 复杂的, 错综的, 缠结的, 难懂的"
complex,"n. 综合体, 情结, 络合物
a. 复杂的, 组合的"
language acquisition,[网络] 语言习得；语言获得；语言的习得
oral,"n. 口试
a. 口头的, 口述的, 口部的"
root,"n. 根, 根本, 根源, 基础, 底部
vt. 使扎根, 使固定, 根除, 肃清, 搜出, 用鼻拱
vi. 生根, 固定, 源于, 用鼻拱土, 寻找, 捧场, 支持"
suffix,"n. 后缀, 下标
vt. 添后缀
[计] 后缀"
affix,"vt. 使附于, 署名, 粘贴, 盖印于
n. 附加物, 词缀"
prefix,"n. 前缀（缀于单词前以改变其意义的字母或字母组合）
v. 在…前面加（字母或数字）
[网络] 字首；词头；前置"
syllable,"n. 音节
vt. 分成音节
[计] 字节"
synonym,n. 同义词
verbal,"a. 用言辞的, 言语的, 口头的, 逐字的, 动词的
[医] 言语的, 口述的"
vocabulary,"n. 词汇(量), 词汇表
[计] 词表"
vocabulary quantity,无
vowel,"n. 元音
a. 元音的"
bilingual,"adj. 双语的
n. 通两种语言的人"
bilingual lecturing,无
cognitive,"a. 认知的, 认识的"
corpus,"n. (事物的)主体, 文集, 本金, 语料库
[医] 体"
dialect,"n. 方言, 同源语"
language family,语系
lexicology,n. 词汇学
linguistic,"a. 语言的, 语言学的
[计] 语言的, 语言学的"
linguistics,n. 语言学
linguist,n. 语言学家
morphology,"n. 形态学, 词法, 形态
[医] 形态学"
