dislike,"n. 嫌恶
vt. 讨厌, 不喜欢"
disadvantage,"n. 缺点, 不利, 坏处"
advantage,"n. 优势；利益；有利条件
vi. 获利
vt. 有利于；使处于优势"
dissatisfaction,n. 不满；令人不满的事物
dispassionate,"a. 冷静的, 不带感情的"
passion,"n. 激情, 酷爱, 热爱, 强烈感情, 耶稣受难(故事)"
passionate,"a. 热情的, 热烈的, 易怒的, 热恋的"
graduate,"n. 毕业生, 量杯
a. 已得学位的, 研究生的, 毕业的
vi. 毕业, 得学位, 逐渐变为
vt. 准予...毕业, 授予...学位, 分等级, 刻刻度"
undergraduate,"n. 大学生；大学肄业生
a. 大学生的"
postgraduate,[网络] 研究生；研究生文凭；硕士
diploma,"n. 文凭, 毕业证书
[医] 文凭"
candidate,n. 候选人，候补者；应试者
nominate,"vt. 提名, 任命, 命名
[法] 提名...为候选人, 指定, 推荐"
gradual,"a. 逐渐的, 渐增的
n. 弥撒升阶圣歌"
relate,"vt. 讲, 叙述, 使互相关联
vi. 有关, 符合, 相处得好"
relation,"n. 关系, 联系, 叙述, 故事, 家属, 亲戚
[计] 关系"
relationship,n. 关系；关联
friendship,[网络] 友谊；友爱
relative,"n. 亲戚, 关系词
a. 有关系的, 相对的, 比较的"
private,"a. 私人的, 秘密的, 私立的, 隐蔽的
n. 士兵, 隐士, 阴部
[计] 私人的"
commemorate,vt. 纪念
memorial,"n. 纪念物, 请愿书
a. 记念的, 记忆的"
memorize,"vt. 记住, 熟记, 背熟"
embed,"vt. 使插入, 使嵌入, 使深留脑中
[计] 嵌入"
disproportionate,a. 不成比例的
proportion,"n. 比例, 比率, 均衡, 部分, 面积
vt. 使成比例, 使均衡"
proportionate,"a. 相称的, 成比例的, 适当的
vt. 使相称, 使成比例"
disclose,"vt. 揭露, 透露
[法] 揭发, 揭露, 公开"
disorder,"n. 杂乱, 混乱
vt. 扰乱, 使失调"
orderly,"a. 有秩序的, 整齐的, 值班的
n. 护理员, 清道夫, 传令兵, 勤务兵
adv. 依次地, 顺序地"
discourage,"vt. 使气馁, 阻碍"
disappear,"vi. 消失；失踪；不复存在
vt. 使…不存在；使…消失"
missing,"adj. 失踪的；缺少的
v. 错过（miss的ing形式）；想念；漏掉
n. (Missing)人名；(德)米辛"
disappoint,vt. 使失望
appoint,"vt. 任命, 指定, 下令
[法] 派, 派任, 任命"
accompany,"vt. 陪伴, 伴随, 补充, 为...伴奏
vi. 伴奏, 伴唱"
company,[网络] 同伴；公司；公司化
appropriate,"adj. 适当的
vt. 占用；拨出"
fit,[网络] 美国纽约时装学院；弗雷德里克理工学院；注水试验
appropriateness,n. 适当；适合
overcrowdedness,[网络] 拥挤地区；过于拥挤；过度拥挤
forgetfulness,[计] 忽视
disregard,"n. 忽视, 漠视
vt. 忽视, 不顾"
regard,"n. 注意；尊重；问候；凝视
vt. 注重，考虑；看待；尊敬；把…看作；与…有关
vi. 注意，注重；注视
n. (Regard)人名；(西、意)雷加德；(法)勒加尔"
deem,"v. 认为, 相信"
regardless,"a. 不管, 不注意, 不顾"
fruitless,"a. 不结果的, 不长果实的, 无子的"
fruitful,"a. 结果实的, 多实的, 产量多的"
powerless,"a. 无力的, 无权的, 无效能的"
powerful,"a. 有力的, 有权力的, 强大的
[机] 强力的"
ruthless,"a. 无情的, 残忍的, 毫不留情的, 彻底的
[法] 无情的, 残忍的"
reckless,"a. 不介意的, 大意的, 鲁莽的, 不顾后果的
[法] 不注意的, 粗心大意的, 鲁莽的"
cautious,"a. 谨慎的, 小心的"
caution,"n. 小心, 慎重, 警示
vt. 警告
[计] 警告"
prudent,"a. 审慎的, 三思而后行的, 精明的, 节俭的"
despite,"n. 轻视, 憎恨
prep. 虽然, 尽管"
regarding,prep. 关于
concerning,"prep. 关于
[法] 关于"
concern,[网络] 关心；关系
negligible,"a. 可以忽略的, 不足取的, 无用的
[医] 可不计的, 可忽视的"
neglect,"n. 疏忽, 忽略, 漏做
vt. 疏忽, 忽视, 不顾"
somewhat,[网络] 一些什么；稍微；有点
disgrace,"n. 耻辱, 不名誉
vt. 使受耻辱, 使失体面"
