abase,v.降低
badger,"n.獾,獾皮毛vt.迫使(某人吐露实话),诱使(某人暴露自己)"
baffle,"vt.困惑,阻碍,为难"
baleful,"adj.有害的,恶意的"
balk,"n.障碍,梁木v.妨碍,(马)不肯前进"
balmy,"adj.芳香的,温和的,止痛的,(空气)温和的"
banal,"adj.平凡的,陈腐的,老一套的"
banish,"vt.流放,驱逐,消除"
bargain,"n.契约,合同,成交商品,便宜货v.议价"
barricade,v.设路障n.路障
bash,"v.怒殴,打坏,<美俚>盛会,狂欢n.怒殴,猛击"
bashful,adj.害羞的
bear,"n.熊v.负担,忍受,带给,具有,挤,向"
bearing,"n.轴承,关系,方面,意义,[pl.] 方向,方位"
beastly,"adj.如野兽的,残忍的,令人不快的"
beat,"n.敲打,拍子,巡逻区域v.打,打败"
beckon,"v.招手,召唤"
befall,"v.降临,遭遇,加于"
befit,vt.适合
begrudge,"vt.嫉妒,羡慕,舍不得给"
beguile,"vt.诱骗,诱惑"
behalf,"n.为,利益"
belie,v.掩饰
bemoan,vt.哀叹
bemused,"adj.困惑的,发呆的"
benevolent,adj.慈善的
benign,"adj.(病)良性的,(气候)良好的,仁慈的,和蔼的"
bequeath,"vt.遗赠,遗留,把...传下去"
bereaved,adj.丧失的
beset,v.困扰
bewitch,"vt.施魔法于,蛊惑,迷人"
bicker,"vi.斗嘴,流动,闪动n.口角,流水声"
bind,"v.绑,镶边,装订,凝固,约束"
bizarre,"adj.奇异的(指态度,容貌,款式等)"
blanch,"v.漂白,使变白,遮断阳光 发白"
blare,n.号声v.奏鸣
blatant,"adj.喧嚣的,俗丽的,吵闹的,炫耀的"
blemish,"n.污点,缺点,瑕疵vt.弄脏,玷污,损害"
bluff,"n.断崖,绝壁,诈骗adj.绝壁的,直率的vt.vi诈骗,"
blunder,"v.跌跌撞撞地走,犯大错,做错n.大错,失误"
blur,"v.涂污,污损(名誉等),把(界线,视线等)弄得模糊不清,弄污n.污点"
blurt,"vt.未加思索地冲口说出,突然说出"
boggle,"v.犹豫,不知是否应"
bogus,"adj.<美>假的,伪造的"
boisterous,"adj.狂暴的,喧闹的"
bold,adj.大胆的n.粗体
bombard,
boost,v.推进
bootleg,v.私卖(酒)
booze,"vi.<俗>豪饮n.酒,酒宴"
bountiful,"adj.慷慨的,宽大的"
brain,"n.脑,头脑"
brash,"adj.仓促的,无礼的,性急的,傲慢的n.胃灼热,骤雨,碎片"
breath,"n.呼吸,气息,气味,空气,微风,暂停,瞬间"
brevity,"n.(时间)短暂,(讲话,文章等)简短"
brittle,"adj.易碎的,脆弱的"
brunt," n冲击,冲势"
brusque,"adj.唐突的,直率的,粗暴的,无礼的"
budge,v.移动
buffer,"n.缓冲,缓冲器"
bulge,"n.凸出部分v.凸出,膨胀"
bulky,"adj.大的,容量大的,体积大的"
burrow,n.洞穴v.挖地洞
burst,"v.爆裂,炸破,急于,爆发n.突然破裂,爆发,脉冲"
bustle,v.匆匆忙忙
butt,"n.粗大的一端,靶垛,笑柄v.以头抵撞,碰撞"
cajole,"vt.以甜言蜜语哄骗,勾引"
calamity,"n.灾难,不幸事件"
calculating,
callous,"adj.无情的,冷淡的,硬结的,起老茧的"
callow,"adj.年轻而无经验的,(鸟)未生羽毛的"
camouflage,v.伪装n.伪装
candid,"adj.无偏见的,公正的,坦白的,率直的"
